concept,namespace,period_type,balance,statement
DescriptionOfNatureOfRisksBeingHedged,ifrs,duration,,P&L / Cash Flow
DescriptionOfNatureOfVoluntaryChangeInAccountingPolicy,ifrs,duration,,P&L / Cash Flow
DescriptionOfNoncurrentAssetOrDisposalGroupHeldForSaleWhichWereSoldOrReclassified,ifrs,duration,,P&L / Cash Flow
DescriptionOfNonfinancialMeasuresOrEstimatesOfBiologicalAssets,ifrs,duration,,P&L / Cash Flow
DescriptionOfObjectivesPoliciesAndProcessesForManagingRisk,ifrs,duration,,P&L / Cash Flow
DescriptionOfObjectivesPoliciesAndProcessesForManagingRisksArisingFromInsuranceContractsAndMethodsUsedToManageThoseRisks,ifrs,duration,,P&L / Cash Flow
DescriptionOfOptionLifeShareOptionsGranted,ifrs,duration,,P&L / Cash Flow
DescriptionOfOptionPricingModelShareOptionsGranted,ifrs,duration,,P&L / Cash Flow
DescriptionOfOtherAccountingPoliciesRelevantToUnderstandingOfFinancialStatements,ifrs,duration,,P&L / Cash Flow
DescriptionOfOtherEquityInterest,ifrs,duration,,P&L / Cash Flow
DescriptionOfOtherInformationUsedToAssessCreditQuality,ifrs,duration,,P&L / Cash Flow
DescriptionOfOtherInputsToOptionsPricingModelShareOptionsGranted,ifrs,duration,,P&L / Cash Flow
DescriptionOfOtherTransactionsThatAreCollectivelySignificant,ifrs,duration,,P&L / Cash Flow
DescriptionOfPeriodsWhenCashFlowsAffectProfitOrLoss,ifrs,duration,,P&L / Cash Flow
DescriptionOfPeriodsWhenCashFlowsExpectedToOccur,ifrs,duration,,P&L / Cash Flow
DescriptionOfPlanAmendmentsCurtailmentsAndSettlements,ifrs,duration,,P&L / Cash Flow
DescriptionOfPoliciesForDisposingOfAssetsNotReadilyConvertibleIntoCashOrForUsingThemInItsOperations,ifrs,duration,,P&L / Cash Flow
DescriptionOfPolicyForDeterminingContributionOfDefinedBenefitPlansThatShareRisksBetweenVariousEntities,ifrs,duration,,P&L / Cash Flow
DescriptionOfPolicyForDeterminingWhenTransfersBetweenLevelsAreDeemedToHaveOccurredAssets,ifrs,duration,,P&L / Cash Flow
DescriptionOfPolicyForDeterminingWhenTransfersBetweenLevelsAreDeemedToHaveOccurredEntitysOwnEquityInstruments,ifrs,duration,,P&L / Cash Flow
DescriptionOfPolicyForDeterminingWhenTransfersBetweenLevelsAreDeemedToHaveOccurredLiabilities,ifrs,duration,,P&L / Cash Flow
DescriptionOfPresentationCurrency,ifrs,duration,,P&L / Cash Flow
DescriptionOfPrimaryReasonsForBusinessCombination,ifrs,duration,,P&L / Cash Flow
DescriptionOfProcessForAnalysingChangesInFairValueMeasurementsAssets,ifrs,duration,,P&L / Cash Flow
DescriptionOfProcessForAnalysingChangesInFairValueMeasurementsEntitysOwnEquityInstruments,ifrs,duration,,P&L / Cash Flow
DescriptionOfProcessForAnalysingChangesInFairValueMeasurementsLiabilities,ifrs,duration,,P&L / Cash Flow
DescriptionOfRatingAgenciesUsed,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonForChangeInFunctionalCurrency,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonForChangeInMethodsAndAssumptionsUsedInPreparingSensitivityAnalysis,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonForDisposingOfInvestmentsInEquityInstrumentsMeasuredAtFairValueThroughOtherComprehensiveIncome,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonForReclassificationOrChangesInPresentation,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonForUsingLongerOrShorterReportingPeriod,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonForUsingPresentationAlternative,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonOfDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonWhyConsolidatedFinancialStatementsHaveNotBeenPrepared,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonWhyEntityIsResumingApplicationOfIFRSs,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonWhyEntityStoppedApplyingIFRSs,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonWhyEntityWithMoreThanHalfOfVotingPowerDirectlyOrIndirectlyOwnedWhichIsNotSubsidiaryDueToAbsenceOfControl,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonWhyFairValueOfGoodsOrServicesReceivedCannotEstimateReliable,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonWhyFinancialStatementsAreNotEntirelyComparable,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonWhyNonfinancialAssetIsBeingUsedInMannerDifferentFromHighestAndBestUse,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonWhyPresentationCurrencyIsDifferentFromFunctionalCurrency,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonWhyReclassificationOfComparativeAmountsIsImpracticable,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonWhySufficientInformationIsNotAvailableToAccountForMultiemployerPlanAsDefinedBenefitPlan,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonWhyUsingDifferentReportingDateOrPeriodForAssociate,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonWhyUsingDifferentReportingDateOrPeriodForJointVenture,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonWhyUsingDifferentReportingDateOrPeriodForSubsidiary,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsAndFactorsWhyAmountOfChangesInFairValueOfFinancialAssetsAndFinancialLiabilitiesAttributableToChangesInCreditRiskNotFaithfullyRepresent,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForChangeInValuationTechniqueUsedInFairValueMeasurementAssets,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForChangeInValuationTechniqueUsedInFairValueMeasurementEntitysOwnEquityInstruments,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForChangeInValuationTechniqueUsedInFairValueMeasurementLiabilities,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForChangeInValuationTechniqueUsedToMeasureFairValueLessCostsOfDisposal,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForChangeOfInvestmentEntityStatus,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForChangesInMethodsAndAssumptionsUsedInPreparingSensitivityAnalysisForActuarialAssumptions,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForChangingWayCashgeneratingUnitIsIdentified,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForConcludingThatEntityIsInvestmentEntityIfItDoesNotHaveOneOrMoreTypicalCharacteristics,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForFairValueMeasurementAssets,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForFairValueMeasurementEntitysOwnEquityInstruments,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForFairValueMeasurementLiabilities,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForProvidingSupportToStructuredEntityWithoutHavingContractualObligationToDoSo,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForProvidingSupportToSubsidiaryWithoutHavingContractualObligationToDoSo,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForTransfersIntoLevel3OfFairValueHierarchyAssets,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForTransfersIntoLevel3OfFairValueHierarchyEntitysOwnEquityInstruments,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForTransfersIntoLevel3OfFairValueHierarchyLiabilities,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForTransfersOfCumulativeGainLossWithinEquity,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForTransfersOutOfLevel1IntoLevel2OfFairValueHierarchyAssets,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForTransfersOutOfLevel1IntoLevel2OfFairValueHierarchyEntitysOwnEquityInstruments,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForTransfersOutOfLevel1IntoLevel2OfFairValueHierarchyLiabilities,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForTransfersOutOfLevel2IntoLevel1OfFairValueHierarchyAssets,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForTransfersOutOfLevel2IntoLevel1OfFairValueHierarchyEntitysOwnEquityInstruments,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForTransfersOutOfLevel2IntoLevel1OfFairValueHierarchyLiabilities,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForTransfersOutOfLevel3OfFairValueHierarchyAssets,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForTransfersOutOfLevel3OfFairValueHierarchyEntitysOwnEquityInstruments,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsForTransfersOutOfLevel3OfFairValueHierarchyLiabilities,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsWhyApplyingNewAccountingPolicyProvidesReliableAndMoreRelevantInformation,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsWhyInitialAccountingForBusinessCombinationIsIncomplete,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsWhyLiabilityCannotBeMeasuredReliably,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsWhyPresumptionThatInterestOfLessThanTwentyPerCentInAssociateIsOvercome,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsWhyPresumptionThatInterestOfMoreThanTwentyPerCentInAssociateIsOvercome,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsWhySeparateFinancialStatementsArePreparedIfNotRequiredByLaw,ifrs,duration,,P&L / Cash Flow
DescriptionOfReasonsWhyTransactionResultedInGainInBargainPurchase,ifrs,duration,,P&L / Cash Flow
DescriptionOfRedesignatedFinancialAssets,ifrs,duration,,P&L / Cash Flow
DescriptionOfRedesignatedFinancialLiabilities,ifrs,duration,,P&L / Cash Flow
DescriptionOfRegulatoryFrameworkInWhichPlanOperates,ifrs,duration,,P&L / Cash Flow
DescriptionOfRelationshipBetweenInternalAndExternalRatings,ifrs,duration,,P&L / Cash Flow
DescriptionOfReportableSegmentToWhichIndividualAssetBelongs,ifrs,duration,,P&L / Cash Flow
DescriptionOfRestrictionsOnDistributionOfRevaluationSurplusToShareholdersPropertyPlantAndEquipment,ifrs,duration,,P&L / Cash Flow
DescriptionOfRetirementBenefitPlan,ifrs,duration,,P&L / Cash Flow
DescriptionOfRetirementBenefitsPromisedToParticipants,ifrs,duration,,P&L / Cash Flow
DescriptionOfRightsOfSetoffAssociatedWithFinancialAssetsSubjectToEnforceableMasterNettingArrangementOrSimilarAgreement,ifrs,duration,,P&L / Cash Flow
DescriptionOfRightsOfSetoffAssociatedWithFinancialLiabilitiesSubjectToEnforceableMasterNettingArrangementOrSimilarAgreement,ifrs,duration,,P&L / Cash Flow
DescriptionOfRiskFreeInterestRateShareOptionsGranted,ifrs,duration,,P&L / Cash Flow
DescriptionOfRisksToWhichPlanExposesEntity,ifrs,duration,,P&L / Cash Flow
DescriptionOfSensitivityOfFairValueMeasurementToChangesInUnobservableInputsAssets,ifrs,duration,,P&L / Cash Flow
DescriptionOfSensitivityOfFairValueMeasurementToChangesInUnobservableInputsEntitysOwnEquityInstruments,ifrs,duration,,P&L / Cash Flow
DescriptionOfSensitivityOfFairValueMeasurementToChangesInUnobservableInputsLiabilities,ifrs,duration,,P&L / Cash Flow
DescriptionOfServiceConcessionArrangement,ifrs,duration,,P&L / Cash Flow
DescriptionOfSharedCharacteristicForConcentration,ifrs,duration,,P&L / Cash Flow
DescriptionOfSignificantActuarialAssumptionsMadeAndMethodUsedToCalculateActuarialPresentValueOfPromisedRetirementBenefits,ifrs,duration,,P&L / Cash Flow
DescriptionOfSignificantConcentrationsOfRiskRelatedToPlan,ifrs,duration,,P&L / Cash Flow
DescriptionOfSignificantEventsAndTransactions,ifrs,duration,,P&L / Cash Flow
DescriptionOfSignificantIntangibleAssetsControlledByEntityButNotRecognised,ifrs,duration,,P&L / Cash Flow
DescriptionOfSignificantJudgementsAndAssumptionsMadeInDeterminingThatEntityIsAgentOrPrincipal,ifrs,duration,,P&L / Cash Flow
DescriptionOfSignificantRestrictionsOnEntitysAbilityToAccessOrUseAssetsAndSettleLiabilitiesOfGroup,ifrs,duration,,P&L / Cash Flow
DescriptionOfSourcesOfHedgeIneffectivenessExpectedToAffectHedgingRelationship,ifrs,duration,,P&L / Cash Flow
DescriptionOfSourcesOfHedgeIneffectivenessThatEmergedInHedgingRelationship,ifrs,duration,,P&L / Cash Flow
DescriptionOfSourcesOfRevenueForAllOtherSegments,ifrs,duration,,P&L / Cash Flow
DescriptionOfTermAndConditionsOfFinancialAssetsPledgedAsCollateralForLiabilitiesOrContingentLiabilities,ifrs,duration,,P&L / Cash Flow
DescriptionOfTermsOfContractualArrangementsThatCouldRequireInvestmentEntityOrItsSubsidiariesToProvideFinancialSupportToUnconsolidatedStructuredEntityControlledByInvestmentEntity,ifrs,duration,,P&L / Cash Flow
DescriptionOfTermsOfContractualArrangementsThatCouldRequireParentOrSubsidiariesToProvideFinancialSupportToStructuredEntity,ifrs,duration,,P&L / Cash Flow
DescriptionOfTermsOfSharesReservedForIssueUnderOptionsAndContractsForSaleOfShares,ifrs,duration,,P&L / Cash Flow
DescriptionOfTimingAndReasonOfReclassificationBetweenFinancialLiabilitiesAndEquity,ifrs,duration,,P&L / Cash Flow
DescriptionOfToWhomGroupWithinEntityThatDecidesEntitysValuationPoliciesAndProceduresReportsAssets,ifrs,duration,,P&L / Cash Flow
DescriptionOfToWhomGroupWithinEntityThatDecidesEntitysValuationPoliciesAndProceduresReportsEntitysOwnEquityInstruments,ifrs,duration,,P&L / Cash Flow
DescriptionOfToWhomGroupWithinEntityThatDecidesEntitysValuationPoliciesAndProceduresReportsLiabilities,ifrs,duration,,P&L / Cash Flow
DescriptionOfTransactionsAfterReportingPeriodWithSignificantChangeInNumberOfOrdinarySharesOutstanding,ifrs,duration,,P&L / Cash Flow
DescriptionOfTransactionsAfterReportingPeriodWithSignificantChangeInNumberOfPotentialOrdinarySharesOutstanding,ifrs,duration,,P&L / Cash Flow
DescriptionOfTransactionsWithRelatedParty,ifrs,duration,,P&L / Cash Flow
DescriptionOfTransitionalProvisionsOfInitiallyAppliedIFRS,ifrs,duration,,P&L / Cash Flow
DescriptionOfTransitionalProvisionsOfInitiallyAppliedIFRSThatMightHaveEffectOnFuturePeriods,ifrs,duration,,P&L / Cash Flow
DescriptionOfTypeOfHedge,ifrs,duration,,P&L / Cash Flow
DescriptionOfTypeOfPlan,ifrs,duration,,P&L / Cash Flow
DescriptionOfTypeOfRetirementBenefitPlan,ifrs,duration,,P&L / Cash Flow
DescriptionOfTypeOfSupportProvidedToStructuredEntityWithoutHavingContractualObligationToDoSo,ifrs,duration,,P&L / Cash Flow
DescriptionOfTypeOfSupportProvidedToSubsidiaryWithoutHavingContractualObligationToDoSo,ifrs,duration,,P&L / Cash Flow
DescriptionOfTypesOfIncomeFromStructuredEntities,ifrs,duration,,P&L / Cash Flow
DescriptionOfTypesOfProductsAndServicesFromWhichEachReportableSegmentDerivesItsRevenues,ifrs,duration,,P&L / Cash Flow
DescriptionOfUncertaintiesOfEntitysAbilityToContinueAsGoingConcern,ifrs,duration,,P&L / Cash Flow
DescriptionOfUnfulfilledConditionsAndOtherContingenciesAttachedToGovernmentGrantForAgriculturalActivity,ifrs,duration,,P&L / Cash Flow
DescriptionOfValuationProcessesUsedInFairValueMeasurementAssets,ifrs,duration,,P&L / Cash Flow
DescriptionOfValuationProcessesUsedInFairValueMeasurementEntitysOwnEquityInstruments,ifrs,duration,,P&L / Cash Flow
DescriptionOfValuationProcessesUsedInFairValueMeasurementLiabilities,ifrs,duration,,P&L / Cash Flow
DescriptionOfValuationTechniquesAndKeyModelInputsUsedForDeterminingNoncontrollingInterestInAnAcquireeMeasuredAtFairValue,ifrs,duration,,P&L / Cash Flow
DescriptionOfValuationTechniquesAndKeyModelInputsUsedToMeasureContingentConsideration,ifrs,duration,,P&L / Cash Flow
DescriptionOfValuationTechniquesUsedInFairValueMeasurementAssets,ifrs,duration,,P&L / Cash Flow
DescriptionOfValuationTechniquesUsedInFairValueMeasurementEntitysOwnEquityInstruments,ifrs,duration,,P&L / Cash Flow
DescriptionOfValuationTechniquesUsedInFairValueMeasurementLiabilities,ifrs,duration,,P&L / Cash Flow
DescriptionOfValuationTechniquesUsedToMeasureFairValueLessCostsOfDisposal,ifrs,duration,,P&L / Cash Flow
DescriptionOfVestingRequirementsForSharebasedPaymentArrangement,ifrs,duration,,P&L / Cash Flow
DescriptionOfVoluntaryChangeInAccountingPolicy,ifrs,duration,,P&L / Cash Flow
DescriptionOfWhetherEntityIsRequiredToAbsorbLossesOfStructuredEntitiesBeforeOtherParties,ifrs,duration,,P&L / Cash Flow
DescriptionOfWhetherInvestmentInAssociateIsMeasuredUsingEquityMethodOrAtFairValue,ifrs,duration,,P&L / Cash Flow
DescriptionOfWhetherInvestmentInJointVentureIsMeasuredUsingEquityMethodOrAtFairValue,ifrs,duration,,P&L / Cash Flow
DescriptionOfWhetherThereArePotentialIncomeTaxConsequencesNotPracticablyDeterminable,ifrs,duration,,P&L / Cash Flow
DescriptionOfWhetherThirdpartyCreditEnhancementIsReflectedInFairValueMeasurement,ifrs,duration,,P&L / Cash Flow
DescriptionWhetherChangeInAccountingPolicyIsMadeInAccordanceWithTransitionalProvisionsOfInitiallyAppliedIFRS,ifrs,duration,,P&L / Cash Flow
DesignatedFinancialInstrumentsAtFairValue,mx_ccd,duration,debit,P&L / Cash Flow
DeterminationOfFairValueOfGoodsOrServicesReceivedOrFairValueOfEquityInstrumentsGrantedOnSharebasedPayments,ifrs,duration,,P&L / Cash Flow
DifferenceBetweenCarryingAmountOfDividendsPayableAndCarryingAmountOfNoncashAssetsDistributed,ifrs,duration,credit,P&L / Cash Flow
DilutedEarningsLossPerShare,ifrs,duration,,P&L / Cash Flow
DilutedEarningsLossPerShareFromContinuingOperations,ifrs,duration,,P&L / Cash Flow
DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs,duration,,P&L / Cash Flow
DilutiveEffectOfConvertibleInstrumentsOnNumberOfOrdinaryShares,ifrs,duration,,P&L / Cash Flow
DilutiveEffectOfShareOptionsOnNumberOfOrdinaryShares,ifrs,duration,,P&L / Cash Flow
DirectOperatingExpenseFromInvestmentProperty,ifrs,duration,debit,P&L / Cash Flow
DirectOperatingExpenseFromInvestmentPropertyGeneratingRentalIncome,ifrs,duration,debit,P&L / Cash Flow
DirectOperatingExpenseFromInvestmentPropertyNotGeneratingRentalIncome,ifrs,duration,debit,P&L / Cash Flow
DirectorsRemunerationExpense,ifrs,duration,debit,P&L / Cash Flow
DisclosureOfAccountingJudgementsAndEstimatesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfAccruedExpensesAndOtherLiabilitiesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfAcquiredReceivablesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfActualClaimsComparedWithPreviousEstimatesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfAdditionalInformationAboutDefinedBenefitPlansExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfAdditionalInformationAboutUnderstandingFinancialPositionsAndLiquidityOfEntityExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfAdditionalInformationExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfAllowanceForCreditLossesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfAmountsArisingFromInsuranceContractsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfAmountsIncurredByEntityForProvisionOfKeyManagementPersonnelServicesProvidedBySeparateManagementEntitiesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfAmountsOfPotentialIncomeTaxConsequencesPracticablyDeterminableExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfAmountsToBeRecoveredOrSettledAfterTwelveMonthsForClassesOfAssetsAndLiabilitiesThatContainAmountsToBeRecoveredOrSettledBothNoMoreAndMoreThanTwelveMonthsAfterReportingDateExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfAnalysisOfOtherComprehensiveIncomeByItemExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfAnalysisOfPresentValueOfDefinedBenefitObligationThatDistinguishesNatureCharacteristicsAndRisksExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfArrangementsInvolvingLegalFormOfLeaseExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfAssetsAndLiabilitiesWithSignificantRiskOfMaterialAdjustmentExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfAuditorsRemunerationExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfAuthorisationOfFinancialStatementsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfAvailableforsaleAssetsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfBasisOfConsolidationExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfBasisOfPreparationOfFinancialStatementsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfBiologicalAssetsAndGovernmentGrantsForAgriculturalActivityExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfBorrowingCostsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfBorrowingsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfBreakdownOfAssetsAndLiabilitiesAggregatedIntoSingleLineInvestmentBalanceTransitionFromProportionateConsolidationToEquityMethodExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfBusinessCombinationsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfCashAndBankBalancesAtCentralBanksExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfCashAndCashEquivalentsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfCashFlowStatementExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfChangesInAccountingEstimatesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfChangesInAccountingPoliciesAccountingEstimatesAndErrorsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfChangesInAccountingPoliciesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfClaimsAndBenefitsPaidExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfClassesOfShareCapitalExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfCollateralExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfCommitmentsAndContingentLiabilitiesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfCommitmentsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfComparativeInformationPreparedUnderPreviousGAAPExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfCompositionOfGroupExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfCompoundFinancialInstrumentsWithMultipleEmbeddedDerivativesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfConsolidatedAndSeparateFinancialStatementsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfContingentLiabilitiesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfContingentLiabilitiesInBusinessCombinationExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfContinuingInvolvementInDerecognisedFinancialAssetsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfCostOfSalesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfCreditRiskExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfCreditRiskOfInsuranceContractsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDebtSecuritiesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDeferredAcquisitionCostsArisingFromInsuranceContractsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDeferredIncomeExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDeferredTaxesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDefinedBenefitPlansExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDepositsFromBanksExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDepositsFromCustomersExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDepreciationAndAmortisationExpenseExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDerivativeFinancialInstrumentsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDetailedInformationAboutArrangementsInvolvingLegalFormOfLeaseExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDetailedInformationAboutBiologicalAssetsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDetailedInformationAboutBorrowingsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDetailedInformationAboutBusinessCombinationsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDetailedInformationAboutFinancialInstrumentsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDetailedInformationAboutHedgedItemsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDetailedInformationAboutHedgesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDetailedInformationAboutHedgingInstrumentsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDetailedInformationAboutIntangibleAssetsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDetailedInformationAboutInvestmentPropertyExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDetailedInformationAboutPropertyPlantAndEquipmentExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDetailedInformationAboutServiceConcessionArrangementsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDiscontinuedOperationsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfDividendsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfEarningsPerShareExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfEffectOfChangeOfInvestmentEntityStatusOnFinancialStatementsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfEffectOfChangesInForeignExchangeRatesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfEffectsOfChangesInParentsOwnershipInterestInSubsidiaryThatDoNotResultInLossOfControlOnEquityAttributableToOwnersOfParentExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfEmployeeBenefitsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfEntitysReportableSegmentsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfEventsAfterReportingPeriodExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfEvidenceSupportingRecognitionOfDeferredTaxAssetsDependentOnFutureTaxableProfitsAndEntityHasSufferedALossInCurrentOrPrecedingPeriodExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfExpensesByNatureExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfExpensesExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfExplorationAndEvaluationAssetsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfExternalCreditExposuresExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfFactAndExplanationWhyDisclosureOfInformationForEachBusinessCombinationIsImpracticable,ifrs,duration,,P&L / Cash Flow
DisclosureOfFairValueMeasurementExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfFairValueMeasurementOfAssetsExplanatory,ifrs,duration,,P&L / Cash Flow
DisclosureOfFairValueMeasurementOfEquityExplanatory,ifrs,duration,,P&L / Cash Flow
